subID	 genre	 age	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Evaluation_Score	 Validation_Type	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Jitter
1	2	31	tom	3	CNh2_2.wav	SPnegh4_2.wav	CN_SPneg	2	1	directvalide	1.8826	1.4832	h2	h4	0	1	2.8826	3.9894	5.4726	6.4726	8.759	0.0031037	1.0018	2.8839	3.9909	5.4741	6.4745	8.2609	1.7864	1.1068
1	2	31	tom	3	CPh3_1.wav	SNposh4_1.wav	CP_SNpos	1	1	directvalide	2.0823	1.1061	h3	h4	8.759	9.759	11.8413	12.7832	13.8893	14.8893	19.9021	8.7798	9.7609	11.8427	12.7848	13.8907	14.8906	19.4035	4.5128	0.94184
1	2	31	tom	3	CPh3_6.wav	SNposf2_6.wav	CP_SNpos	6	3	directvalide	2.0128	0.98395	h3	f2	19.9021	20.9021	22.9149	24.2794	25.2634	26.2634	30.7058	19.9176	20.9039	22.9163	24.2812	25.2647	26.2653	30.2077	3.9424	1.3646
1	2	31	tom	3	CNh2_4.wav	SNnegf2_4.wav	CN_SNneg	4	1	directvalide	2.033	1.3926	h2	f2	30.7058	31.7058	33.7388	34.7823	36.1749	37.1749	41.4424	30.7212	31.7072	33.7402	34.7837	36.1764	37.1764	40.9439	3.7676	1.0435
1	2	31	tom	3	CNh4_11.wav	SNnegf4_11.wav	CN_SNneg	11	1	directvalide	3.0043	1.2517	h4	f4	41.4424	42.4424	45.4467	46.4395	47.6912	48.6912	53.9549	41.459	42.4439	45.4481	46.4408	47.6926	48.693	53.4568	4.7637	0.99273
1	2	31	tom	3	CNh4_8.wav	SPnegh1_8.wav	CN_SPneg	8	3	nonvalid	2.0463	1.3794	h4	h1	53.9549	54.9549	57.0012	57.9193	59.2987	60.2987	65.7987	53.972	54.9566	57.0027	57.9208	59.3001	60.3008	NaN	NaN	0.91813
1	2	31	tom	3	CPh1_2.wav	SPposf2_2.wav	CP_SPpos	2	1	directvalide	1.471	1.3322	h1	f2	65.7987	66.7987	68.2698	68.832	70.1642	71.1642	72.735	65.8005	66.8005	68.2712	68.8338	70.1657	71.166	72.2367	1.0707	0.56223
1	2	31	tom	3	CPf4_9.wav	SPposh3_9.wav	CP_SPpos	9	1	valid	2.0725	1.3226	f4	h3	72.735	73.735	75.8074	76.6696	77.9922	78.9922	81.4852	72.7496	73.7364	75.8088	76.6715	77.9936	78.9937	80.9867	1.993	0.86215
1	2	31	tom	3	CPh2_14.wav	SNposf4_14.wav	CP_SNpos	14	2	valid	2.0656	1.4518	h2	f4	81.4852	82.4852	84.5508	85.1436	86.5954	87.5954	89.547	81.5008	82.4869	84.5522	85.1454	86.5968	87.5971	89.0487	1.4516	0.59282
1	2	31	tom	3	CPf2_10.wav	SPposf3_10.wav	CP_SPpos	10	1	directvalide	2.1819	0.9346	f2	f3	89.547	90.547	92.7289	93.7946	94.7292	95.7292	99.0029	89.5644	90.5488	92.7303	93.7963	94.7306	95.7309	98.5047	2.7738	1.0656
