subID	 genre	 age	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Evaluation_Score	 Validation_Type	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Jitter
50	1	20	irony	2	CNh4_12.wav	SPnegh1_12.wav	CN_SPneg	12	5	valid	2.916	1.1383	h4	h1	0	1	3.916	5.2489	6.3872	7.3872	11.4722	0.0051535	1.0014	3.917	5.2504	6.3882	7.3883	10.9733	3.585	1.3329
50	1	20	irony	2	CNf1_8.wav	SPnegh1_8.wav	CN_SPneg	8	5	valid	1.8561	1.3794	f1	h1	11.4722	12.4722	14.3283	15.8172	17.1966	18.1966	19.9032	11.4937	12.4736	14.3291	15.8186	17.1975	18.1976	19.4042	1.2066	1.4889
50	1	20	irony	2	CPh4_1.wav	SNposh1_1.wav	CP_SNpos	1	4	valid	2.6714	0.97426	h4	h1	19.9032	20.9032	23.5746	25.0085	25.9828	26.9828	29.1375	19.9196	20.9055	23.5754	25.0099	25.9836	26.9842	28.639	1.6548	1.4339
50	1	20	irony	2	CPh1_7.wav	SNposh4_7.wav	CP_SNpos	7	4	valid	1.7797	1.267	h1	h4	29.1375	30.1375	31.9173	32.4405	33.7075	34.7075	36.9062	29.1524	30.1389	31.9181	32.4419	33.7085	34.7089	36.4076	1.6987	0.52326
50	1	20	irony	2	CPf2_10.wav	SNposh2_10.wav	CP_SNpos	10	5	valid	2.1819	0.8376	f2	h2	36.9062	37.9062	40.0882	40.6326	41.4702	42.4702	44.018	36.9215	37.9077	40.0891	40.634	41.4715	42.472	43.5197	1.0477	0.54447
50	1	20	irony	2	CPh4_15.wav	SPposf2_15.wav	CP_SPpos	15	1	valid	2.3266	0.86204	h4	f2	44.018	45.018	47.3445	48.1154	48.9775	49.9775	51.3401	44.0334	45.0195	47.3454	48.1169	48.9784	49.979	50.8416	0.86266	0.77094
50	1	20	irony	2	CPf3_16.wav	SPposf1_16.wav	CP_SPpos	16	1	valid	2.0749	0.90583	f3	f1	51.3401	52.3401	54.415	55.7672	56.673	57.673	59.1413	51.3558	52.3417	54.4159	55.768	56.674	57.6745	58.6428	0.96832	1.3522
50	1	20	irony	2	CPh1_4.wav	SPposf1_4.wav	CP_SPpos	4	1	valid	2.0088	1.2369	h1	f1	59.1413	60.1413	62.1501	62.9757	64.2126	65.2126	66.5643	59.1547	60.1422	62.151	62.9771	64.2135	65.214	66.0657	0.8517	0.8256
50	1	20	irony	2	CNh2_14.wav	SPnegf2_14.wav	CN_SPneg	14	4	valid	1.8744	1.0173	h2	f2	66.5643	67.5643	69.4387	70.4687	71.486	72.486	75.0283	66.5789	67.5657	69.4396	70.4701	71.4869	72.4875	74.5298	2.0423	1.03
50	1	20	irony	2	CPh3_3.wav	SNposh1_3.wav	CP_SNpos	3	5	valid	1.8993	1.0418	h3	h1	75.0283	76.0283	77.9276	79.0665	80.1083	81.1083	82.9482	75.0443	76.0297	77.9284	79.0679	80.1092	81.1097	82.4496	1.3399	1.1389
50	1	20	irony	2	CPf2_11.wav	SPposh4_11.wav	CP_SPpos	11	1	valid	2.5876	0.88991	f2	h4	82.9482	83.9482	86.5357	87.2463	88.1362	89.1362	90.7124	82.9684	83.9497	86.5367	87.2476	88.1371	89.1377	90.2138	1.0762	0.71052
50	1	20	irony	2	CNf4_16.wav	SPnegf1_16.wav	CN_SPneg	16	5	valid	2.1648	0.87574	f4	f1	90.7124	91.7124	93.8772	95.2445	96.1202	97.1202	98.6373	90.7276	91.7135	93.8781	95.2458	96.1215	97.1218	98.1388	1.0171	1.3673
50	1	20	irony	2	CNf4_14.wav	SNnegh1_14.wav	CN_SNneg	14	1	valid	2.3239	0.9405	f4	h1	98.6373	99.6373	101.9612	103.1201	104.0606	105.0606	107.6533	98.6531	99.6388	101.962	103.122	104.0615	105.0619	107.1546	2.0927	1.1589
50	1	20	irony	2	CNh1_16.wav	SNnegf1_16.wav	CN_SNneg	16	1	valid	1.5868	0.68615	h1	f1	107.6533	108.6533	110.2401	110.9567	111.6428	112.6428	114.1688	107.6675	108.6554	110.241	110.958	111.6437	112.6438	113.6698	1.026	0.71657
50	1	20	irony	2	CNf3_2.wav	SNnegh2_2.wav	CN_SNneg	2	4	valid	1.7522	1.1344	f3	h2	114.1688	115.1688	116.921	118.3897	119.5241	120.5241	123.9332	114.1811	115.1702	116.9219	118.391	119.5251	120.5256	123.4346	2.9091	1.4687
50	1	20	irony	2	CNf2_15.wav	SNnegf3_15.wav	CN_SNneg	15	1	valid	2.1254	1.0843	f2	f3	123.9332	124.9332	127.0586	127.7697	128.854	129.854	131.3057	123.9488	124.9346	127.0594	127.7711	128.855	129.855	130.8067	0.95169	0.71113
50	1	20	irony	2	CNf3_1.wav	SPnegf4_1.wav	CN_SPneg	1	4	valid	2.1499	1.1029	f3	f4	131.3057	132.3057	134.4556	135.4941	136.597	137.597	139.3252	131.326	132.3067	134.4565	135.4951	136.5979	137.5985	138.8267	1.2282	1.0385
50	1	20	irony	2	CNh3_6.wav	SNnegh1_6.wav	CN_SNneg	6	2	valid	2.4477	0.90676	h3	h1	139.3252	140.3252	142.7729	144.2187	145.1255	146.1255	147.7002	139.3447	140.3266	142.7738	144.2201	145.1264	146.127	147.2018	1.0747	1.4458
50	1	20	irony	2	CNf3_3.wav	SPnegh3_3.wav	CN_SPneg	3	5	valid	2.8553	1.0968	f3	h3	147.7002	148.7002	151.5555	152.1759	153.2727	154.2727	157.5303	147.7154	148.7017	151.5564	152.1773	153.2736	154.2741	157.0317	2.7575	0.62041
50	1	20	irony	2	CNf4_1.wav	SNnegh4_1.wav	CN_SNneg	1	2	valid	2.7904	1.1614	f4	h4	157.5303	158.5303	161.3206	162.5347	163.6961	164.6961	166.6392	157.5451	158.5317	161.3216	162.5361	163.697	164.6976	166.1407	1.4431	1.2141
50	1	20	irony	2	CPh1_14.wav	SNposf4_14.wav	CP_SNpos	14	5	valid	1.7412	1.4518	h1	f4	166.6392	167.6392	169.3804	170.4933	171.9451	172.9451	174.7982	166.6548	167.6406	169.3812	170.4947	171.946	172.9465	174.2997	1.3531	1.1129
50	1	20	irony	2	CNf1_10.wav	SNnegf4_10.wav	CN_SNneg	10	1	valid	2.1186	0.9285	f1	f4	174.7982	175.7982	177.9168	178.4211	179.3496	180.3496	182.0262	174.8137	175.7996	177.9178	178.4224	179.3506	180.3511	181.5276	1.1765	0.50427
50	1	20	irony	2	CPh3_12.wav	SPposh4_12.wav	CP_SPpos	12	1	valid	1.9436	0.87986	h3	h4	182.0262	183.0262	184.9698	186.2273	187.1072	188.1072	189.2961	182.0415	183.0276	184.9714	186.2287	187.108	188.1086	188.7976	0.68898	1.2575
50	1	20	irony	2	CPf4_9.wav	SNposh1_9.wav	CP_SNpos	9	5	valid	2.0725	0.95016	f4	h1	189.2961	190.2961	192.3686	193.3876	194.3378	195.3378	197.3729	189.3125	190.2975	192.3696	193.389	194.3387	195.3392	196.8743	1.5351	1.019
