subID	 genre	 age	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Evaluation_Score	 Validation_Type	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Jitter
49	2	22	sarcasm	3	CPh4_9.wav	SNposf2_9.wav	CP_SNpos	9	2	valid	2.5525	1.2481	h4	f2	0	1	3.5525	4.3327	5.5808	6.5808	9.566	0.0028172	1.0014	3.5534	4.3344	5.5817	6.5822	9.0674	2.4852	0.78026
49	2	22	sarcasm	3	CNf4_16.wav	SNnegh2_16.wav	CN_SNneg	16	1	valid	2.1648	0.72782	f4	h2	9.566	10.566	12.7308	13.3537	14.0815	15.0815	18.88	9.5838	10.5675	12.7317	13.3546	14.0824	15.0829	18.3814	3.2985	0.62285
49	2	22	sarcasm	3	CNh3_1.wav	SPnegf4_1.wav	CN_SPneg	1	4	valid	2.1412	1.1029	h3	f4	18.88	19.88	22.0212	23.4836	24.5865	25.5865	27.3925	18.8953	19.8813	22.022	23.485	24.5874	25.588	26.8939	1.3059	1.4625
49	2	22	sarcasm	3	CNf4_13.wav	SPnegf2_13.wav	CN_SPneg	13	5	valid	2.5701	0.81125	f4	f2	27.3925	28.3925	30.9626	31.5805	32.3917	33.3917	34.7261	27.407	28.3933	30.9635	31.5816	32.3927	33.3926	34.227	0.83441	0.6179
49	2	22	sarcasm	3	CNf4_11.wav	SNnegf3_11.wav	CN_SNneg	11	1	valid	2.3907	1.1143	f4	f3	34.7261	35.7261	38.1168	38.6452	39.7595	40.7595	42.1274	34.7406	35.7275	38.1177	38.6466	39.7605	40.7609	41.6287	0.86783	0.52839
49	2	22	sarcasm	3	CNh4_8.wav	SNnegh2_8.wav	CN_SNneg	8	1	valid	2.0463	0.92705	h4	h2	42.1274	43.1274	45.1737	46.3906	47.3177	48.3177	49.2721	42.1415	43.129	45.1746	46.3921	47.3192	48.3196	48.774	0.45439	1.217
49	2	22	sarcasm	3	CPh4_13.wav	SPposh1_13.wav	CP_SPpos	13	1	valid	2.061	0.73794	h4	h1	49.2721	50.2721	52.3331	53.1969	53.9348	54.9348	55.9193	49.2973	50.2735	52.3342	53.1979	53.9359	54.9363	55.4208	0.48446	0.8638
49	2	22	sarcasm	3	CPf2_16.wav	SPposf4_16.wav	CP_SPpos	16	5	valid	2.1088	1.0362	f2	f4	55.9193	56.9193	59.028	60.3973	61.4335	62.4335	65.3962	55.9357	56.9206	59.029	60.3983	61.4344	62.4351	64.8978	2.4627	1.3693
49	2	22	sarcasm	3	CNf3_15.wav	SNnegf1_15.wav	CN_SNneg	15	1	valid	2.2024	0.94544	f3	f1	65.3962	66.3962	68.5986	69.7831	70.7285	71.7285	73.4898	65.4113	66.3977	68.5995	69.7844	70.7294	71.7295	72.9908	1.2612	1.1845
49	2	22	sarcasm	3	CNf4_5.wav	SPnegf1_5.wav	CN_SPneg	5	1	valid	2.2631	0.95098	f4	f1	73.4898	74.4898	76.7528	78.2006	79.1516	80.1516	82.5247	73.5103	74.4912	76.7537	78.2019	79.1526	80.1526	82.0257	1.8731	1.4478
49	2	22	sarcasm	3	CNh3_14.wav	SPnegf4_14.wav	CN_SPneg	14	2	valid	1.8912	1.1594	h3	f4	82.5247	83.5247	85.4159	86.7251	87.8845	88.8845	90.9798	82.5381	83.5256	85.4168	86.7264	87.8859	88.8865	90.4818	1.5954	1.3092
49	2	22	sarcasm	3	CPf3_10.wav	SNposh2_10.wav	CP_SNpos	10	1	valid	1.7297	0.8376	f3	h2	90.9798	91.9798	93.7095	95.1506	95.9882	96.9882	100.3782	90.9936	91.9811	93.7104	95.1519	95.9891	96.9895	99.8796	2.8901	1.4411
49	2	22	sarcasm	3	CNf3_16.wav	SPnegh3_16.wav	CN_SPneg	16	4	valid	1.8798	0.79438	f3	h3	100.3782	101.3782	103.258	103.8873	104.6816	105.6816	107.4964	100.3976	101.3797	103.2589	103.8886	104.6826	105.6829	106.9977	1.3147	0.62926
49	2	22	sarcasm	3	CPh3_11.wav	SPposf1_11.wav	CP_SPpos	11	1	valid	2.3025	1.1195	h3	f1	107.4964	108.4964	110.7989	112.2487	113.3682	114.3682	115.5973	107.5097	108.4974	110.7998	112.25	113.3692	114.3693	115.0984	0.72908	1.4499
49	2	22	sarcasm	3	CNf1_4.wav	SPnegh2_4.wav	CN_SPneg	4	3	valid	1.5589	1.3093	f1	h2	115.5973	116.5973	118.1562	118.8514	120.1607	121.1607	124.0559	115.616	116.5984	118.1571	118.8527	120.1616	121.1614	123.5566	2.3952	0.6952
