subID	 genre	 age	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Evaluation_Score	 Validation_Type	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Jitter
19	2	26	tom	3	CPh2_9.wav	SNposh4_9.wav	CP_SNpos	9	4	valid	1.9802	1.1514	h2	h4	0	1	2.9802	3.9367	5.0881	6.0881	11.0354	0.0030181	1.0018	2.9815	3.9384	5.0894	6.0898	10.5372	4.4473	0.95654
19	2	26	tom	3	CPf1_4.wav	SPposf4_4.wav	CP_SPpos	4	1	valid	2.2781	1.6416	f1	f4	11.0354	12.0354	14.3135	15.0529	16.6944	17.6944	20.2115	11.0545	12.037	14.3156	15.0544	16.6958	17.6963	19.7133	2.0171	0.73935
19	2	26	tom	3	CPh3_13.wav	SPposf1_13.wav	CP_SPpos	13	1	valid	1.7581	1.0322	h3	f1	20.2115	21.2115	22.9696	24.218	25.2503	26.2503	27.8779	20.2286	21.2133	22.971	24.2197	25.2516	26.2519	27.3795	1.1276	1.2484
19	2	26	tom	3	CPf4_10.wav	SPposh2_10.wav	CP_SPpos	10	1	valid	1.9699	0.85794	f4	h2	27.8779	28.8779	30.8477	32.038	32.8959	33.8959	35.8441	27.8936	28.8796	30.8491	32.0397	32.8973	33.8977	35.3459	1.4482	1.1902
19	2	26	tom	3	CPh2_8.wav	SNposf1_8.wav	CP_SNpos	8	4	valid	1.6061	0.87574	h2	f1	35.8441	36.8441	38.4502	39.0984	39.9742	40.9742	44.0733	35.8615	36.8458	38.4516	39.1001	39.9756	40.9756	43.5747	2.5991	0.64824
19	2	26	tom	3	CNf3_8.wav	SPnegf1_8.wav	CN_SPneg	8	2	valid	2.4237	1.0774	f3	f1	44.0733	45.0733	47.497	48.3198	49.3972	50.3972	54.4647	44.0893	45.0751	47.4989	48.3215	49.3989	50.3992	53.9667	3.5675	0.82287
19	2	26	tom	3	CNh2_7.wav	SNnegh4_7.wav	CN_SNneg	7	3	directvalide	2.3136	1.1715	h2	h4	54.4647	55.4647	57.7783	58.9001	60.0715	61.0715	63.0697	54.482	55.4664	57.7795	58.9018	60.073	61.0734	62.5716	1.4982	1.1218
19	2	26	tom	3	CNf3_12.wav	SNnegf4_12.wav	CN_SNneg	12	4	valid	1.9961	1.0106	f3	f4	63.0697	64.0697	66.0658	66.6501	67.6607	68.6607	74.0429	63.0869	64.071	66.0672	66.6517	67.6621	68.6623	73.5446	4.8822	0.58434
19	2	26	tom	3	CNh4_9.wav	SNnegf2_9.wav	CN_SNneg	9	2	valid	2.7982	1.3003	h4	f2	74.0429	75.0429	77.8412	78.6982	79.9985	80.9985	84.3916	74.0572	75.0446	77.8425	78.6999	79.9999	81.0003	83.8934	2.8931	0.85707
19	2	26	tom	3	CPh2_10.wav	SNposf4_10.wav	CP_SNpos	10	4	valid	1.7423	0.9439	h2	f4	84.3916	85.3916	87.1339	88.5698	89.5137	90.5137	95.9783	84.4114	85.3932	87.1353	88.5713	89.5154	90.5157	95.4803	4.9646	1.4358
