subID	 genre	 age	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Evaluation_Score	 Validation_Type	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Jitter
19	2	26	irony	1	CNf3_13.wav	SPnegh2_13.wav	CN_SPneg	13	1	valid	2.2212	0.8742	f3	h2	0	1	3.2212	4.1777	5.0519	6.0519	10.5441	0.003429	1.0017	3.2225	4.1795	5.0533	6.0537	10.0459	3.9922	0.95654
19	2	26	irony	1	CNf1_6.wav	SPnegh2_6.wav	CN_SPneg	6	3	directvalide	2.4798	1.1182	f1	h2	10.5441	11.5441	14.0239	14.7632	15.8814	16.8814	19.6055	10.5696	11.5458	14.0253	14.7651	15.8827	16.883	19.1072	2.2241	0.73935
19	2	26	irony	1	CNh4_15.wav	SPnegf4_15.wav	CN_SPneg	15	5	valid	2.4177	1.1799	h4	f4	19.6055	20.6055	23.0232	24.2716	25.4515	26.4515	29.0075	19.6257	20.6073	23.0246	24.2734	25.4529	26.4533	28.5093	2.056	1.2484
19	2	26	irony	1	CPf1_9.wav	SNposf4_9.wav	CP_SNpos	9	5	valid	1.917	1.6313	f1	f4	29.0075	30.0075	31.9245	33.1148	34.7461	35.7461	40.9239	29.026	30.0094	31.9259	33.1165	34.748	35.7483	40.4261	4.6778	1.1902
19	2	26	irony	1	CPf2_5.wav	SPposh2_5.wav	CP_SPpos	5	2	valid	2.1539	0.8254	f2	h2	40.9239	41.9239	44.0778	44.726	45.5514	46.5514	50.3012	40.9506	41.9256	44.0791	44.7277	45.5528	46.5532	49.8031	3.2498	0.64824
19	2	26	irony	1	CNf3_15.wav	SNnegf1_15.wav	CN_SNneg	15	5	valid	2.2024	0.94544	f3	f1	50.3012	51.3012	53.5036	54.3265	55.2719	56.2719	59.2722	50.3311	51.3031	53.505	54.3282	55.2733	56.2733	58.7736	2.5003	0.82287
19	2	26	irony	1	CPh4_1.wav	SNposh3_1.wav	CP_SNpos	1	4	valid	2.6714	1.0524	h4	h3	59.2722	60.2722	62.9436	64.0654	65.1178	66.1178	69.2197	59.2893	60.2736	62.945	64.0669	65.1192	66.1196	68.7214	2.6018	1.1218
19	2	26	irony	1	CPf2_11.wav	SPposh4_11.wav	CP_SPpos	11	3	directvalide	2.5876	0.88991	f2	h4	69.2197	70.2197	72.8072	73.3916	74.2815	75.2815	77.6476	69.2348	70.2214	72.8086	73.3929	74.2829	75.2833	77.1493	1.8661	0.58434
19	2	26	irony	1	CPf1_14.wav	SPposf4_14.wav	CP_SPpos	14	4	valid	1.9952	1.2568	f1	f4	77.6476	78.6476	80.6428	81.4999	82.7567	83.7567	88.1582	77.6695	78.6493	80.6442	81.5015	82.758	83.7599	87.6614	3.9015	0.85707
19	2	26	irony	1	CPf2_4.wav	SPposh2_4.wav	CP_SPpos	4	5	valid	2.28	1.2645	f2	h2	88.1582	89.1582	91.4382	92.874	94.1385	95.1385	99.1634	88.1738	89.1599	91.4395	92.8757	94.1399	95.1403	98.6652	3.5248	1.4358
19	2	26	irony	1	CPf2_16.wav	SNposh2_16.wav	CP_SNpos	16	5	valid	2.1088	0.64651	f2	h2	99.1634	100.1634	102.2721	103.0977	103.7442	104.7442	108.3356	99.179	100.1651	102.2735	103.0994	103.7456	104.7458	107.8372	3.0914	0.8256
19	2	26	irony	1	CPf4_16.wav	SPposf2_16.wav	CP_SPpos	16	1	valid	2.2631	0.70095	f4	f2	108.3356	109.3356	111.5987	112.6235	113.3244	114.3244	116.9167	108.3508	109.3373	111.6	112.6253	113.3258	114.3262	116.4184	2.0922	1.0248
19	2	26	irony	1	CNh1_6.wav	SNnegh3_6.wav	CN_SNneg	6	3	directvalide	2.0758	0.99599	h1	h3	116.9167	117.9167	119.9925	120.5644	121.5604	122.5604	125.0916	116.932	117.9184	119.9939	120.5661	121.5619	122.5622	124.5934	2.0312	0.5719
19	2	26	irony	1	CNh3_2.wav	SNnegf3_2.wav	CN_SNneg	2	2	valid	1.8451	1.2541	h3	f3	125.0916	126.0916	127.9367	128.7414	129.9954	130.9954	134.8495	125.1067	126.0933	127.938	128.743	129.9968	130.9973	134.3514	3.3541	0.80466
19	2	26	irony	1	CNh1_2.wav	SPnegf1_2.wav	CN_SPneg	2	5	valid	1.6283	1.4385	h1	f1	134.8495	135.8495	137.4778	138.8416	140.2801	141.2801	143.0904	134.8658	135.851	137.4791	138.8433	140.2814	141.2818	142.5921	1.3103	1.3638
19	2	26	irony	1	CNh3_16.wav	SPnegh1_16.wav	CN_SPneg	16	3	directvalide	1.863	1.1527	h3	h1	143.0904	144.0904	145.9534	146.7191	147.8718	148.8718	152.7649	143.1053	144.0921	145.9547	146.7209	147.8732	148.8734	152.2665	3.3931	0.76575
19	2	26	irony	1	CNf3_5.wav	SNnegf4_5.wav	CN_SNneg	5	1	valid	1.9773	1.2055	f3	f4	152.7649	153.7649	155.7422	156.4691	157.6747	158.6747	162.6016	152.7791	153.7666	155.7437	156.4708	157.676	158.6764	162.1034	3.4269	0.72692
19	2	26	irony	1	CNf1_1.wav	SPnegh3_1.wav	CN_SPneg	1	5	valid	1.9059	1.0605	f1	h3	162.6016	163.6016	165.5075	166.8307	167.8912	168.8912	170.8087	162.6169	163.6033	165.5089	166.8322	167.8927	168.8929	170.3103	1.4175	1.3232
19	2	26	irony	1	CNf3_16.wav	SNnegf1_16.wav	CN_SNneg	16	3	nokey	1.8798	0.68615	f3	f1	170.8087	171.8087	173.6884	174.4184	175.1046	176.1046	181.6046	170.8249	171.8105	173.6898	174.4199	175.106	176.1063	NaN	NaN	0.73
19	2	26	irony	1	CNf2_13.wav	SNnegh3_13.wav	CN_SNneg	13	5	nonvalid	2.5844	0.97181	f2	h3	181.6046	182.6046	185.189	186.6437	187.6155	188.6155	194.1155	181.6064	182.6065	185.1903	186.6454	187.6169	188.6171	NaN	NaN	1.4547
19	2	26	irony	1	CPf2_14.wav	SNposh2_14.wav	CP_SNpos	14	4	valid	2.4813	1.0816	f2	h2	194.1155	195.1155	197.5968	198.5474	199.6289	200.6289	202.5979	194.1171	195.1171	197.5983	198.549	199.631	200.6313	202.1003	1.469	0.95058
19	2	26	irony	1	CPh2_2.wav	SPposf1_2.wav	CP_SPpos	2	5	valid	1.663	1.5529	h2	f1	202.5979	203.5979	205.2609	206.3353	207.8882	208.8882	211.7638	202.6189	203.5995	205.2623	206.3371	207.8896	208.8898	211.2655	2.3756	1.0744
19	2	26	irony	1	CNf1_11.wav	SPnegf3_11.wav	CN_SPneg	11	2	valid	2.1186	1.19	f1	f3	211.7638	212.7638	214.8824	216.1448	217.3348	218.3348	222.8665	211.7778	212.7654	214.884	216.1465	217.3361	218.3364	222.3682	4.0317	1.2623
