subID	 genre	 age	 task	 run	 Context 	 Statement	 Condition_name	 Situation	 Evaluation_Score	 Validation_Type	 Time_Context	 Time_Statement	 Voice_Context	 Voice_Statement	 Time_Onset	 Time_Onset_Context	 Time_End_Context	 Time_Onset_Statement	 Time_End_Statement	 Onset_Evaluation	 End_Evaluation	 Real_Time_Onset	 Real_Time_Onset_Context	 Real_Time_End_Context	 Real_Time_Onset_Statement	 Real_Time_End_Statement	 Real_Time_Onset_Evaluation	 Real_Time_End_Evaluation	 RT	 Jitter
8	1	19	tom	1	CNf3_4.wav	SPnegh2_4.wav	CN_SPneg	4	2	valid	2.0373	1.3093	f3	h2	0	1	3.0373	4.0439	5.3531	6.3531	9.717	0.039849	1.0018	3.0387	4.0456	5.3545	6.3546	9.2185	2.8639	1.0066
8	1	19	tom	1	CNf1_14.wav	SNnegh2_14.wav	CN_SNneg	14	5	valid	2.0283	1.1182	f1	h2	9.717	10.717	12.7454	13.4496	14.5677	15.5677	17.8569	9.7478	10.7192	12.7467	13.4511	14.5691	15.5692	17.3584	1.7892	0.70421
8	1	19	tom	1	CNh1_11.wav	SPnegf3_11.wav	CN_SPneg	11	2	valid	2.0088	1.19	h1	f3	17.8569	18.8569	20.8657	21.3865	22.5765	23.5765	26.2355	17.8768	18.8591	20.867	21.3883	22.5779	23.5783	25.7372	2.1589	0.5208
8	1	19	tom	1	CNh1_1.wav	SNnegh3_1.wav	CN_SNneg	1	4	valid	1.7653	1.2863	h1	h3	26.2355	27.2355	29.0007	29.8387	31.125	32.125	33.795	26.2546	27.2372	29.0021	29.8405	31.1264	32.1266	33.2966	1.17	0.83796
8	1	19	tom	1	CNh3_16.wav	SPnegf4_16.wav	CN_SPneg	16	1	valid	1.863	1.0157	h3	f4	33.795	34.795	36.658	37.5152	38.5309	39.5309	41.8861	33.831	34.7965	36.6593	37.517	38.5323	39.5327	41.3878	1.8551	0.85725
8	1	19	tom	1	CPh1_9.wav	SNposf1_9.wav	CP_SNpos	9	3	directvalide	1.6736	1.2185	h1	f1	41.8861	42.8861	44.5597	45.6848	46.9034	47.9034	49.5607	41.9133	42.8878	44.561	45.6863	46.9049	47.9052	49.0625	1.1573	1.1251
8	1	19	tom	1	CPh3_2.wav	SNposf3_2.wav	CP_SNpos	2	2	valid	1.9234	1.1631	h3	f3	49.5607	50.5607	52.4841	53.4206	54.5836	55.5836	58.5329	49.5778	50.5625	52.4855	53.422	54.585	55.5854	58.0347	2.4493	0.93643
8	1	19	tom	1	CNf1_5.wav	SNnegh2_5.wav	CN_SNneg	5	5	valid	1.9802	0.94333	f1	h2	58.5329	59.5329	61.5132	62.0262	62.9696	63.9696	65.8731	58.5481	59.5347	61.5141	62.0279	62.9709	63.9714	65.3749	1.4036	0.51308
8	1	19	tom	1	CNh3_7.wav	SNnegh4_7.wav	CN_SNneg	7	3	directvalide	2.2218	1.1715	h3	h4	65.8731	66.8731	69.095	70.1399	71.3113	72.3113	74.4159	65.8936	66.8749	69.0964	70.1415	71.3128	72.3132	73.9178	1.6046	1.0449
8	1	19	tom	1	CPh4_1.wav	SNposh3_1.wav	CP_SNpos	1	4	valid	2.6714	1.0524	h4	h3	74.4159	75.4159	78.0873	79.4881	80.5406	81.5406	84.6038	74.4362	75.4177	78.0886	79.4899	80.5421	81.5426	84.1057	2.5632	1.4009
8	1	19	tom	1	CPf3_6.wav	SNposh1_6.wav	CP_SNpos	6	5	valid	2.457	0.92122	f3	h1	84.6038	85.6038	88.0608	89.3432	90.2645	91.2645	94.5219	84.6181	85.6056	88.0621	89.345	90.2658	91.2662	94.0236	2.7574	1.2825
8	1	19	tom	1	CNf2_6.wav	SPnegf3_6.wav	CN_SPneg	6	3	directvalide	2.7307	1.3205	f2	f3	94.5219	95.5219	98.2526	99.4541	100.7746	101.7746	103.866	94.5385	95.5236	98.2539	99.4556	100.776	101.7764	103.3678	1.5914	1.2016
